dialogue,human_summary,base_model_summary,full_finetune_summary,lora_summary
"#Person1#: Oh, it's getting late. I've got to run. It was nice talking to you, karren.
#Person2#: Thanks, Tim. Nice meeting you, too.
#Person1#: I guess we'll see just around.
#Person2#: Ye, I hope so. well. Take it easy.
#Person1#: You too.",Karren and Tim say goodbye.,"#Person1#: I've got to run, karren.",Tim and Karen talk about their time together.,"#Person1#: I've got to run, karren."
"#Person1#: Thank you for bringing me here. What shall we order?
#Person2#: Well, it all looks so good. How about ordering the steamed prawns?
#Person1#: Really? I'd rather have the chicken feet to be honest.
#Person2#: Ok then, let's get the chicken feet.
#Person1#: How about drinks? Would you like beer or wine?
#Person2#: I'd prefer wine. You?
#Person1#: Wine's fine by me. Let's order a bottle of the house red then.
#Person2#: Ok, a bottle of the house red please!",#Person1# and #Person2# decide to order chicken feet and wine.,"#Person1#: OK, let's order a bottle of the house red.",#Person1# orders chicken feet and a bottle of the house red.,"#Person1#: OK, let's order a bottle of the house red."
"#Person1#: Hello. Tenants Advocacy Resource Center.
#Person2#: Hello. I'm having a problem with my house owner. The House owner is a nice enough guy, but he and I just can't seem to agree on repair costs.
#Person1#: Has he been unwilling to make repairs?
#Person2#: It's not that he's unwilling. He just takes too long. When I first moved in, the heater was broken and it took him 3 months to fix it and last month was my thirtieth birthday. My friends threw me a surprise party. They showed up with a ton of food and lots of beers and they even had a rock and roll band. It turned into an all night party and.
#Person1#: And your neighbors started complaining about the noise.
#Person2#: No, everyone in the building was there. It was a great party. Unfortunately, some people accidentally broke the living room window. Next day, I gotta repair person to come over to fix the window. Since he was already here, I had him fix the broken washing machine, which I had been complaining to the house owner about for over 2 months. Then last week, I mailed the money for the house, not including the repair costs. But this morning, my house owner called me angrily and said that he wouldn't pay for the repairs. That doesn't seem fair. What should I do?",#Person2# tells Tenants Advocacy Resource Center about the problem with #Person2#'s house owner. #Person2# tells #Person1# it always takes #Person2#'s house owner a long time to repair and they can't agree on the repair costs.,"#Person1#: I'm having a problem with my house owner. The house owner is a nice enough guy, but he just takes too long. When I first moved in, the heater was broken and it took him 3 months to fix it.","#Person2# is having a problem with the house owner because he can't agree on repair costs. The house owner is nice enough but he takes too long to fix the broken heater, the birthday party, and the broken washing machine. Then, the owner called #person1# angrily and said he wouldn't pay for the repairs.","#Person1#: I'm having a problem with my house owner. The house owner is a nice enough guy, but he and I just can't seem to agree on repair costs."
"#Person1#: We're having a department meeting at 10 o'clock, ok?
#Person2#: That's fine. . . I need to pick up some stationary-you know, a stapler, scissors, files, who should I see about that?
#Person1#: See Julie, the receptionist. She knows where all that stuff is kept. You might like a calendar for you desk. She can give you one of those too.
#Person2#: Thanks. I need to make a few photocopies.
#Person1#: The photocopier is near my office. Come on, I'll show you where it is.
#Person2#: Do you enjoy working in this office?
#Person1#: Yes, I do. Everyone's really friendly. Sometimes, I wish I worked outdoors more, especially during the summer.
#Person2#: What's usually discussed at the department meetings?
#Person1#: We usually tell each other where we are with various clients and potential clients. The boss assigns extra duties to people who she thinks can best deal with them. It's also a chance to put forward su",#Person1# informs #Person2# of the meeting and helps #Person2# pick up some stationery. #Person1# also shares the experience of working and meetings.,#Person1#: We're having a department meeting at 10 o'clock.,"#Person2# needs to pick up some stationary, a stapler, scissors, files, and a calendar for the department meeting. Julie will show #person1# where the photocopier is. They talk about the office and the boss's duties.",#Person1#: We're having a department meeting at 10 o'clock.
"#Person1#: I'd like to purchase a pan. 
#Person2#: Is there any particular size that you want? 
#Person1#: Well, I cook a lot of big meals. 
#Person2#: What do you think of this one? It's a 16' pan. 
#Person1#: Yes, that's the right size, but it's so heavy. 
#Person2#: Well, look at our aluminum pan. It's much lighter. 
#Person1#: Yes, this is very light. But the handle is also aluminum. 
#Person2#: No problem. Look at this one. Same pan, but with a lightweight wooden handle. 
#Person1#: Great. This is exactly what I was looking for. I'll buy it. 
#Person2#: I think you'll love this pan. Do you want to pay with cash? 
#Person1#: Yes. Oh, wait a second, please. What about a lid? 
#Person2#: I'm sorry. I forgot to show it to you. Here it is. It comes with the pan. ","#Person1# takes a size 16, aluminum pan with a lightweight wooden handle at #Person2#'s shop as #Person1# cooks big meals often.",#Person1#: I'd like to purchase a 16' pan.,#Person1# buys a 16' aluminum pan with a lightweight wooden handle with cash and a lid.,#Person1#: I'd like to purchase a 16' pan.
"#Person1#: Why don't you have some of my cake, Sue? I made it just for this party.
#Person2#: Sorry, Bill, I'm not in the cake at the moment. I thought you knew about my diet.
#Person1#: On your birthday? Surely you can eat whatever you want on your birthday. You can start your diet tomorrow. And anyway, you look great.
#Person2#: Well, thanks, Bill. I am not on a diet to lose weight, actually. My doctor told me to stop eating certain foods. I'm trying to avoid being allergic to something.
#Person1#: I didn't know food could help with that. I also notice you didn't eat any of the sandwiches Jill brought.
#Person2#: Yeah, and you and Tom and Shellin all brought different cakes. I'm dying to try them.
#Person1#: Why don't I go get you a salad? I'm sure you'll feel better if you eat something.
#Person2#: All right, it's the only thing here I can eat. What I really want is some hot soup.
#Person1#: Why don't I go and get some soup from the restaurant across the street for you?
#Person2#: That's awfully nice of you. But I'm enjoying my party. Maybe we could go afterwards.
#Person1#: OK, you go back in the house and chat with the guests. And I'll call the restaurant and tell them we'll be there in a few hours.","Bill made a cake for Sue's birthday, but Sue is on a diet to avoid allergy. Bill offers to buy her something healthy to eat, but Sue is enjoying her party. So they will go afterwards.",Person1: I'm going to get you a salad.,Sue refuses Bill's invitation to have some cake. Bill tells her she can eat whatever she wants on her birthday. Sue wants some hot soup and Bill will get some soup from the restaurant across the street.,Person1: I'm going to get you a salad.
"#Person1#: Thank you for showing me your offices, Mr. Becker. I can see why Washington bureaucrats enjoy their jobs. 
#Person2#: Why do you say that? 
#Person1#: The city is beautiful, the off . . . , the offices are modern and comfortable, and the work is so interesting. 
#Person2#: Many people work for the federal government their entire adult lives. Government service can be a rewarding and secure career. 
#Person1#: Do you mean financially rewarding? 
#Person2#: Well, many positions pay salaries that are comparable to those in private industries. 
#Person1#: I've always thought that most bureaucrats are lazy. 
#Person2#: Sometimes that's true, but not usually. Most feds are honest, hard-working professionals. It's hard to keep highly trained people, so the pay and working conditions have to be attractive. 
#Person1#: How much do you make? 
#Person2#: I'm a GS-15. That's high on the scale of workers, but even a GS-1 is paid a living wage. ",Mr. Becker shows #Person1# around the office of the Washington bureaucrats and #Person1# has changed the image about the bureaucrats.,"I'm a GS-1, and I've been working for the federal government for a long time.",Mr. Becker tells #Person1# why Washington bureaucrats enjoy their jobs. He thinks government service can be a rewarding and secure career and the pay and working conditions have to be attractive.,I'm a GS-15.
"#Person1#: Hi! What are you watching?
#Person2#: It's a programme about Islam. It's very interesting.
#Person1#: Wow! So many people! Where are they and what are they doing?
#Person2#: They are muslims on a pilgrimage to mecca. Muslims call this pilgrimage haj.
#Person1#: Why do they go there?
#Person2#: Muslims believe that every man who is able should go on a haj at least once in his life. Mecca is the spiritual centre of the muslim faith.
#Person1#: When muslims pray, they face towards mecca.
#Person2#: That's right. Unfortunately, so many people go on the haj each year that there are often stamped and people get killed.
#Person1#: I heard about that. The pilgrims must walk around a large, sacred black stone.
#Person2#: That's right. That's when accidents often happen. The Saudi government tries to limit the number of pilgrims, to reduce the chances of accidents.
#Person1#: Pilgrimages are common in many faiths.
#Person2#: Yes. In England, Christian pilgrims might go to Canterbury and many Christians go to the Vatican on pilgrimages.
#Person1#: Isn't there a place in france where people go to get healed?
#Person2#: I think that place is Lourdes. There are many stories of people being healed after visiting there.
#Person1#: Do you think that there is something magical about that place?
#Person2#: Personally. I think that people believe they will be healed and that faith causes a change in their mind that cures them. I don't think place is magical in any way.",#Person2# is watching a programme about Islam's pilgrimage to Mecca. #Person1# has heard that there are often accidents happen during this pilgrimage. They also talk about pilgrimage in other countries.,People believe they will be healed after visiting a place in France.,"#Person2# is watching a programme about Islam and tells about the pilgrimage to Mecca. The Saudi government tries to limit the number of pilgrims to reduce the chances of accidents. The pilgrims must walk around a large, sacred black stone and there is a place in France where people get healed.",People believe they will be healed after visiting a place in France.
"#Person1#: Your luggage is over 8 kilograms.
#Person2#: Really? What can I do?
#Person1#: You have to pay the excess luggage charge, please.
#Person2#: OK. Can you give me a fragile label?
#Person1#: Sure. Here you are. Attach the label to your luggage and put your bag here.",#Person1# will pays for the overweight luggage.,#Person1#: OK. Attach the label to your luggage and put your bag here.,#Person2# pays the excess luggage charge and gets a fragile label.,#Person1#: OK. Attach the label to your luggage and put your bag here.
"#Person1#: You look like so happy. Anything good happens?
#Person2#: Aha, yeah. My friend just dropped in from the United Kingdom. 
#Person1#: Yeah, and? 
#Person2#: I decided to put him up while he's here. We will have fun and I am going to invite him to give a speech at my lab.
#Person1#: Is he a professor?
#Person2#: Oh no. He is a Ph.D. student at the University of Edinburgh. He will graduate at the end of this year.
#Person1#: Wow, it seems he's very excellent.
#Person2#: You can say that again.
#Person1#: So what's the topic of his speech? I think I might want to go too.
#Person2#: It's about multimodal text generation. He'll talk about generating summaries for videos and discourse modeling as well.
#Person1#: Well, that sounds sophisticated. Leave me a place.",#Person2#'s friend is a Ph.D. student at the University of Edinburgh. He is visiting #Person2# and will give a speech about multimodal text generation. #Person1# will attend it.,#Person1#: I'm going to invite him to give a speech at my lab.,#Person2#'s friend dropped in from the United Kingdom and will invite him to give a speech. #Porn1# thinks it's sophisticated and wants to leave.,"#Person1#: Aha, yeah. My friend just dropped in from the United Kingdom. He is a Ph.D. student at the University of Edinburgh. He will give a speech at my lab."
"#Person1#: York Hotel, can I help you?
#Person2#: Yes, I'd like to book a room for 3 nights.
#Person1#: When will you be arriving?
#Person2#: We'll arrive the day after tomorrow. That's July twntieth.
#Person1#: Yes, sir. Single or double?
#Person2#: One double room.
#Person1#: Alright. One double room until the twenty-third.
#Person2#: How much will that be?
#Person1#: $130 a night, including breakfast.
#Person2#: That'll be fine.
#Person1#: May I have your name, please?
#Person2#: Faber, Faber, Faber, Mr. Faber.
#Person1#: Thank you for calling, Mr. Faber. Goodbye.
#Person2#: Bye.",Mr. Faber books a double room for 3 nights from July 20th at York Hotel.,I'd like to book a double room for three nights at the York Hotel.,Mr. Faber calls York Hotel to book a double room for 3 nights. #Person1# helps him book it.,I'd like to book a room for three nights at the York Hotel.
